Country,IE,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
Kiribati,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",Export,,,,,,,,,,,,,,,11000000,6000000,,,,20000000,29000000,5000000,148000000,244000000,86000000,55000000,63000000,220000000,192000000,14000000,4000000,201000000,222000000,185000000,49000000,49000000,39000000,18000000,56000000,21000000,13000000,77000000,161000000,126000000,40000000,,,,,,
"Korea, Rep.",Export,,,,,,,,,,,,,141000000,,,,,,,105000000,105000000,108000000,54000000,,105000000,33000000,78000000,,51000000,46000000,72000000,116000000,,44000000,,21000000,62000000,60000000,72000000,,8000000,165000000,,100000000,29000000,48000000,94000000,220000000,80000000,163000000,95000000
Kuwait,Export,,,,,,,,3000000,,,,,,,,,,,,,24000000,,,,4000000,,,,,,,,,,,,,,99000000,,,,,,,,,,,,
Kyrgyzstan,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000,,,,,,,,92000000,,,,,14000000,,
Laos,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,
Lebanon,Export,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,45000000,,,,,,,,
Lesotho,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Export,,,,,,,,,,,,,0,0,,25000000,4000000,,13000000,398000000,95000000,106000000,164000000,14000000,53000000,31000000,11000000,15000000,62000000,7000000,36000000,,,,3000000,,,3000000,10000000,,,,11000000,16000000,113000000,113000000,18000000,10000000,18000000,32000000,28000000
Liechtenstein,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,
Luxembourg,Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"Macao, China",Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
